Date and Time,Site,Source IP Address,User Name,Application Name,Application Category,Reputation,URL Category,Action Taken,Isolation Type,Total Bytes,Downloaded Bytes,Uploaded Bytes,Client IP Address,Destination IP Address,Destination Port,Protection Area,Malware Name,Block Reason,Rule Name,URL,Method,Content Type,Browser Name,Browser Version,Agent Name,HTTP Status,Location,Process Name,MCP,POP ID,POP Country Code,HTTP Referer,RBI,HTTPS Scanning,AV Upload Scan Enabled,AV Download Scan Enabled,Client Hostname,Filename,POP Egress IP,POP Ingress IP,Proxy Port,DLP Scanning,Malware Probability,Domain Fronting Host,SSL Client Protocol,SSL Server Protocol,Domain Fronting URL,Transaction Time,Processing Time,Time to First Byte from Server,Time to Last Byte from Server
2026-07-16T16:29:58,dns.google,38.7.102.74,advc2808,Unknown,Unknown,Minimal Risk,Internet Services,BLOCK,None,64587,64242,345,10.20.133.43,8.8.4.4,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,dns.google/dns-query,GET,application/x-empty,Other,,Chrome,403,,microsoft teams webview helper,true,257,US,,false,true,false,false,bd01l05010.local,dns-query,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,289ms ,71ms ,0s,0s
2026-07-16T16:29:51,ak-data.magnific.com,38.7.102.74,advc2808,Magnific (formerly Freepik),Artificial Intelligence,Minimal Risk,"Business,Interactive Web Applications,Artificial Intelligence,Generative AI (Image/Audio/Video)",BLOCK,None,68969,65143,3826,10.20.133.43,34.160.205.140,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,ak-data.magnific.com/app/app/xzo0bvj9t7raco6og0q3,GET,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,,false,true,false,false,bd01l05010.local,xzo0bvj9t7raco6og0q3,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,338ms ,67ms ,0s,0s
2026-07-16T16:29:50,ss-prod-ue1-ns.aws.adobess.com,38.7.102.74,advc2808,Unknown,Unknown,Minimal Risk,"Business,Software/Hardware",BLOCK,None,65861,64232,1629,10.20.133.43,54.80.233.240,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,ss-prod-ue1-ns.aws.adobess.com/api/v1/notifications,GET,application/x-empty,Other,,CCLibrary/4.18.0 darwin/arm64/25.4.0,403,,creative cloud libraries synchr,true,257,US,,false,true,false,false,bd01l05010.local,notifications,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,188ms ,69ms ,0s,0s
2026-07-16T16:29:33,chatgpt.com,38.7.102.74,advc2808,OpenAI - ChatGPT,Artificial Intelligence,Minimal Risk,"Interactive Web Applications,Artificial Intelligence",BLOCK,None,74456,65256,9200,10.20.133.43,172.64.155.209,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,chatgpt.com/ces/v1/telemetry/intake,POST,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,https://chatgpt.com/c/6a58f5ef-8fe4-83e8-971b-85e7bd9554c2,false,true,false,false,bd01l05010.local,intake,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,329ms ,70ms ,0s,0s
2026-07-16T16:29:33,chatgpt.com,38.7.102.74,advc2808,OpenAI - ChatGPT,Artificial Intelligence,Minimal Risk,"Interactive Web Applications,Artificial Intelligence",BLOCK,None,73874,64978,8896,10.20.133.43,172.64.155.209,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,chatgpt.com/ces/statsc/flush,POST,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,https://chatgpt.com/c/6a58f5ef-8fe4-83e8-971b-85e7bd9554c2,false,true,false,false,bd01l05010.local,flush,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,323ms ,64ms ,0s,0s
2026-07-16T16:29:32,chatgpt.com,38.7.102.74,advc2808,OpenAI - ChatGPT,Artificial Intelligence,Minimal Risk,"Interactive Web Applications,Artificial Intelligence",BLOCK,None,75422,64961,10461,10.20.133.43,172.64.155.209,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,chatgpt.com/backend-api/celsius/ws/user,GET,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,https://chatgpt.com/c/6a58f5ef-8fe4-83e8-971b-85e7bd9554c2,false,true,false,false,bd01l05010.local,user,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,196ms ,65ms ,0s,0s
2026-07-16T16:29:30,a.nel.cloudflare.com,38.7.102.74,advc2808,Cloudflare,Networking,Minimal Risk,Internet Services,BLOCK,None,65796,65151,645,10.20.133.43,35.190.80.1,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,a.nel.cloudflare.com/report/v4,OPTIONS,application/x-empty,Electron,41.1.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) canvadesktopapp-prod/1.122.1 Chrome/146.0.7680.166 Electron/41.1.0 Safari/537.36 (distribution-channel/mac-app-s",403,,canva helper,true,257,US,,false,true,false,false,bd01l05010.local,v4,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,295ms ,64ms ,0s,0s
2026-07-16T16:29:30,a.nel.cloudflare.com,38.7.102.74,advc2808,Cloudflare,Networking,Minimal Risk,Internet Services,BLOCK,None,65772,65139,633,10.20.133.43,35.190.80.1,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,a.nel.cloudflare.com/report/v4,OPTIONS,application/x-empty,Electron,41.1.0,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) canvadesktopapp-prod/1.122.1 Chrome/146.0.7680.166 Electron/41.1.0 Safari/537.36 (distribution-channel/mac-app-s",403,,canva helper,true,257,US,,false,true,false,false,bd01l05010.local,v4,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,240ms ,65ms ,0s,0s
2026-07-16T16:29:29,chatgpt.com,38.7.102.74,advc2808,OpenAI - ChatGPT,Artificial Intelligence,Minimal Risk,"Interactive Web Applications,Artificial Intelligence",BLOCK,None,76757,65200,11557,10.20.133.43,172.64.155.209,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,chatgpt.com/ces/v1/telemetry/intake,POST,application/x-empty,Safari,26.4,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Safari/605.1.15",403,,safari,true,257,US,https://chatgpt.com/c/6a58f5ef-8fe4-83e8-971b-85e7bd9554c2,false,true,false,false,bd01l05010.local,intake,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,198ms ,64ms ,0s,0s
2026-07-16T16:29:28,ss-prod-ue1-ns.aws.adobess.com,38.7.102.74,advc2808,Unknown,Unknown,Minimal Risk,"Business,Software/Hardware",BLOCK,None,66046,64192,1854,10.20.133.43,52.87.25.189,443,No Web Access,,Blocked by URL filtering,Block URLs Whose Category is Listed in Blocked URL Categories,ss-prod-ue1-ns.aws.adobess.com/api/v1/notifications,GET,application/x-empty,Other,,CoreSync: 7.8.10.1 And MacOS Version 26.4 (Build 25E246),403,,core sync,true,257,US,,false,true,false,false,bd01l05010.local,notifications,131.229.181.47,131.229.181.147,8080,false,0,,TLSv1.3,,,205ms ,69ms ,0s,0s
